"URL","Page name","Page type/template","Parent","Header location","Footer location","Breadcrumb","Delivery priority","Release horizon","Commercial edition","Capability/backlog IDs and release evidence ID","Availability, evidence owner, verified environment, and last-verified release/date","Surface owner and implementation owner","Audience","Search/campaign intent","Primary CTA","Header/footer variant","Indexability","Canonical rule","Sitemap group","Schema types","CMS owner","Product/legal reviewer requirement","Analytics page type","Status, dependency, and unresolved-decision blockers"
"/tentang","About","Company page","/","Direct or footer","Perusahaan","Beranda > Tentang","P0","R0","Unapproved","Brand brief","Available; Brand; local static build; 2026-07-25","Brand; Web","General visitors","Brand intent","Daftar Early Access","Full marketing","index,follow","Self","pages","AboutPage; Organization","Brand","Company review","about","Built"
"/status","Status","Static status placeholder","/","Sumber Daya","Perusahaan","Beranda > Status","P0","R0","Unapproved","Status provider not selected","Placeholder; Operations; local static build; 2026-07-25","Operations; Web","Users","Navigational","Buka Bantuan","Full marketing","noindex,follow until live data","Self","excluded","WebPage","Operations","Operations and security review","status","Built shell; verified status provider required"
"/bantuan","Help center","Help hub placeholder","/","Sumber Daya","Sumber Daya","Beranda > Bantuan","P0","R0-R1","Unapproved","Public product manual pending","Placeholder; Support; local static build; 2026-07-25","Support; Web","Users","Support intent","Hubungi Kami","Full marketing","index only when useful content exists","Self","pages when approved","WebPage","Support","Product and support review","help_hub","Built shell; help collections and verified articles deferred"
"/sumber-daya","Resource center","Resource hub","/","Sumber Daya","Sumber Daya","Beranda > Sumber Daya","P0","R0","Unapproved","Resource architecture brief","Available; Content; local static build; 2026-07-25","Content; Web","UMKM learners","Resource discovery","Jelajahi Panduan","Full marketing","index,follow","Self","pages","CollectionPage; BreadcrumbList","Content","Editorial review","resource_hub","Built"
"/panduan","Guide hub","Resource collection","/sumber-daya","Sumber Daya","Sumber Daya","Beranda > Sumber Daya > Panduan","P0","R0","Unapproved","Dummy content set","Dummy; Editorial; local static build; 2026-07-25","Editorial; Web","UMKM learners","Educational intent","Baca Panduan","Full marketing","index,follow","Self","pages","CollectionPage; BreadcrumbList","Editorial","Editorial and subject review","guide_hub","Built"
"/panduan/[slug]","3 guides","Guide detail family","/panduan","Contextual","Sumber Daya","Beranda > Panduan > Detail","P0","R0","Unapproved","Dummy guide content","Dummy; Editorial; local static build; 2026-07-25","Editorial; Web","UMKM learners","How-to intent","Lihat Produk Terkait","Editorial","index,follow for substantive content","Self per instance","pages","Article; BreadcrumbList","Editorial","Editorial and subject review","guide_detail","Built instances: membaca-stok-harian|memahami-arus-kas|menilai-insight-ai"
"/template","Template hub","Resource collection","/sumber-daya","Sumber Daya","Sumber Daya","Beranda > Sumber Daya > Template","P1","R1","Unapproved","Template asset pipeline pending","Hub only; Content; local static build; 2026-07-25","Content; Web","UMKM operators","Template intent","Lihat Panduan","Full marketing","index,follow","Self","pages","CollectionPage; BreadcrumbList","Content","Editorial and privacy review","template_hub","Built hub; no downloadable template details yet"
"/kalkulator","Calculator hub","Resource collection","/sumber-daya","Sumber Daya","Sumber Daya","Beranda > Sumber Daya > Kalkulator","P0","R0","Unapproved","Formula definitions and tests required","Preview; Product and Editorial; local static build; 2026-07-25","Product Content; Web","UMKM operators","Calculator intent","Pilih Kalkulator","Full marketing","index,follow","Self","pages","CollectionPage; BreadcrumbList","Product Content","Finance or inventory reviewer","calculator_hub","Built"
"/kalkulator/[slug]","3 calculators","Calculator detail family","/kalkulator","Contextual","Sumber Daya","Beranda > Kalkulator > Detail","P0","R0","Unapproved","Formula unit tests and reviewer sign-off pending","Preview; Product; local static build; 2026-07-25","Product Content; Web","UMKM operators","Calculation intent","Hitung","Tool","index,follow after formula review","Self per instance","pages","WebApplication; BreadcrumbList","Product Content","Finance or inventory reviewer","calculator_detail","Built instances: laba-usaha|hpp|reorder-stok; inputs and results must never enter analytics"
"/kamus-bisnis","Glossary hub","Resource collection","/sumber-daya","Sumber Daya","Sumber Daya","Beranda > Sumber Daya > Kamus Bisnis","P0","R0","Unapproved","Dummy glossary set","Dummy; Editorial; local static build; 2026-07-25","Editorial; Web","UMKM learners","Definition intent","Pilih Istilah","Full marketing","index,follow","Self","pages","DefinedTermSet; BreadcrumbList","Editorial","Editorial and subject review","glossary_hub","Built"
"/kamus-bisnis/[slug]","4 glossary terms","Glossary detail family","/kamus-bisnis","Contextual","Sumber Daya","Beranda > Kamus Bisnis > Istilah","P0","R0","Unapproved","Dummy glossary content","Dummy; Editorial; local static build; 2026-07-25","Editorial; Web","UMKM learners","Definition intent","Baca Panduan Terkait","Editorial","index only when unique and substantive","Self per instance","pages","DefinedTerm; BreadcrumbList","Editorial","Editorial and subject review","glossary_detail","Built instances: arus-kas|hpp|omzet|stok-pengaman"
"/blog","Blog home","Editorial hub","/","Sumber Daya","Sumber Daya","Beranda > Blog","P0","R0","Unapproved","Dummy editorial collection","Dummy; Editorial; local static build; 2026-07-25","Editorial; Web","UMKM learners","Informational discovery","Jelajahi Artikel","Editorial","index,follow","Self","pages","Blog; CollectionPage","Editorial","Editorial review","blog_home","Built"
"/blog/[slug]","3 dummy articles","Article family","/blog","Contextual","Sumber Daya","Beranda > Blog > Kategori > Artikel","P0","R0","Unapproved","Dummy article content","Dummy; Editorial; local static build; 2026-07-25","Editorial; Web","UMKM learners","Informational intent","Contextual CTA","Editorial","index,follow","Self per instance","posts","BlogPosting; BreadcrumbList","Editorial","Reviewer required by topic","blog_article","Built instances: ai-business-companion-umkm|arus-kas-umkm-ringan|panduan-membaca-stok-harian; CMS deferred"
"/blog/kategori/[slug]","3 category pages","Blog category family","/blog","Sumber Daya","Sumber Daya","Beranda > Blog > Kategori","P0","R0","Unapproved","Category threshold rules","Thin; Editorial; local static build; 2026-07-25","Editorial; Web","UMKM learners","Topic intent","Baca Artikel","Editorial","noindex,follow while under threshold","Self per instance","excluded while thin","CollectionPage; BreadcrumbList","Editorial","SEO and editorial review","blog_category","Built instances: ai-untuk-umkm|keuangan-umkm|stok-inventori; each remains thin with one article"
"/blog/penulis/[slug]","1 author profile","Author profile family","/blog","Contextual","Sumber Daya","Beranda > Blog > Penulis","P0","R0","Unapproved","Reusable author entity pending CMS","Dummy team entity; Editorial; local static build; 2026-07-25","Editorial; Web","Readers","E-E-A-T support","Baca Artikel","Editorial","noindex,follow","Self","excluded","ProfilePage; Person; BreadcrumbList","Editorial","Editorial review","blog_author","Built instance: tim-editorial-ramuni; no individual credential claims"
"/blog/cari","Blog search","Search results","/blog","Sumber Daya","None","Beranda > Blog > Cari","P0","R0","Unapproved","Static client search","Available; Editorial; local static build; 2026-07-25","Editorial; Web","Readers","Internal search","Cari","Editorial","noindex,follow","Self","excluded","SearchResultsPage; BreadcrumbList","Editorial","Privacy review","blog_search","Built; raw queries must not be stored as PII"
"/blog/kebijakan-editorial","Editorial policy","Editorial trust page","/blog","Contextual","Sumber Daya","Beranda > Blog > Kebijakan Editorial","P0","R0","Unapproved","Editorial policy brief","Draft; Editorial; local static build; 2026-07-25","Editorial; Web","Readers","Trust intent","Laporkan Koreksi","Editorial","index,follow after approval","Self","pages","WebPage; BreadcrumbList","Editorial","Editorial and legal review","editorial_policy","Built draft"
"/blog/metodologi-fact-check","Fact-check methodology","Editorial trust page","/blog","Contextual","Sumber Daya","Beranda > Blog > Metodologi","P0","R0","Unapproved","Fact-check brief","Draft; Editorial; local static build; 2026-07-25","Editorial; Web","Readers","Trust intent","Lihat Kebijakan Sumber","Editorial","index,follow after approval","Self","pages","WebPage; BreadcrumbList","Editorial","Editorial and legal review","editorial_policy","Built draft"
"/blog/kebijakan-sumber","Source policy","Editorial trust page","/blog","Contextual","Sumber Daya","Beranda > Blog > Kebijakan Sumber","P0","R0","Unapproved","Source policy brief","Draft; Editorial; local static build; 2026-07-25","Editorial; Web","Readers","Trust intent","Lihat Metodologi","Editorial","index,follow after approval","Self","pages","WebPage; BreadcrumbList","Editorial","Editorial and legal review","editorial_policy","Built draft"
"/blog/kebijakan-pembaruan","Update policy","Editorial trust page","/blog","Contextual","Sumber Daya","Beranda > Blog > Kebijakan Pembaruan","P0","R0","Unapproved","Update policy brief","Draft; Editorial; local static build; 2026-07-25","Editorial; Web","Readers","Trust intent","Laporkan Koreksi","Editorial","index,follow after approval","Self","pages","WebPage; BreadcrumbList","Editorial","Editorial and legal review","editorial_policy","Built draft"
"/blog/koreksi","Correction policy","Editorial trust page","/blog","Contextual","Sumber Daya","Beranda > Blog > Koreksi","P0","R0","Unapproved","Correction workflow pending contact destination","Draft; Editorial; local static build; 2026-07-25","Editorial; Web","Readers","Correction intent","Hubungi Kami","Editorial","index,follow after approval","Self","pages","WebPage; BreadcrumbList","Editorial","Editorial, privacy, and legal review","editorial_policy","Built draft; secure correction destination pending"
"/masuk","Login entry placeholder","Product-owned gateway","/","Account","Account","Beranda > Masuk","P0","R0","Unapproved","Product auth origin unresolved","Placeholder; Product; local static build; 2026-07-25","Product; Web","Existing users","Navigational","Kembali ke Beranda","Account","noindex,follow","Self","excluded","WebPage","Product","Security review","account_entry","Built placeholder; must redirect or link to approved product origin"
"/privasi","Privacy policy","Legal page","/","None","Legal","Beranda > Privasi","P0","R0","Unapproved","Legal copy pending","Placeholder; Legal; local static build; 2026-07-25","Legal; Web","All visitors","Legal intent","Hubungi Kami","Legal","noindex,follow until approved","Self","excluded until approved","WebPage","Legal","Legal approval","legal","Built placeholder"
"/syarat-penggunaan","Terms","Legal page","/","None","Legal","Beranda > Syarat Penggunaan","P0","R0","Unapproved","Legal copy pending","Placeholder; Legal; local static build; 2026-07-25","Legal; Web","All visitors","Legal intent","Hubungi Kami","Legal","noindex,follow until approved","Self","excluded until approved","WebPage","Legal","Legal approval","legal","Built placeholder"
"/kebijakan-cookie","Cookie policy","Legal page","/","None","Legal","Beranda > Kebijakan Cookie","P0","R0","Unapproved","Consent vendor and legal copy pending","Placeholder; Legal; local static build; 2026-07-25","Legal; Web","All visitors","Legal intent","Kelola Cookie when available","Legal","noindex,follow until approved","Self","excluded until approved","WebPage","Legal","Legal and privacy approval","legal","Built placeholder; consent manager not selected"
"/pemrosesan-data","Data processing","Legal page","/","None","Legal","Beranda > Pemrosesan Data","P0","R0","Unapproved","DPA and subprocessor data pending","Placeholder; Legal; local static build; 2026-07-25","Legal; Web","Customers and buyers","Legal intent","Hubungi Kami","Legal","noindex,follow until approved","Self","excluded until approved","WebPage","Legal","Legal, privacy, and security approval","legal","Built placeholder"
"/terima-kasih","Generic thank-you","Success page","Lead forms","None","None","Beranda > Terima Kasih","P0","R0","Unapproved","Server-confirmed lead state required","Fallback shell; Growth; local static build; 2026-07-25","Growth; Web","Submitted leads","Post-conversion","Kembali ke Beranda","Minimal","noindex,follow","Self","excluded","WebPage","Growth","Privacy review","thank_you","Built; must not be treated as proof of submission without server confirmation"
"/terima-kasih/[type]","4 typed thank-you pages","Success page family","Lead forms","None","None","Beranda > Terima Kasih","P0","R0","Unapproved","Server-confirmed lead state and deduplication required","Shells; Growth; local static build; 2026-07-25","Growth; Web","Submitted leads","Post-conversion","Contextual next step","Minimal","noindex,follow","Self per instance","excluded","WebPage","Growth","Privacy review","thank_you","Built instances: early-access|demo|kontak|template; endpoint must confirm success before redirect"
"/404","Not found","System page","None","None","None","None","P0","R0","Unapproved","Static system route","Available; Web; local static build; 2026-07-25","Web","All visitors","Recovery","Kembali ke Beranda","System","noindex,follow","Self","excluded","WebPage","Web","None","error_404","Built as 404.html"
"/500","Server error","System page","None","None","None","None","P0","R0","Unapproved","Hosting adapter behavior required","Static shell; Web; local static build; 2026-07-25","Web","All visitors","Recovery","Lihat Status","System","noindex,follow","Self","excluded","WebPage","Web","Security review","error_500","Built as 500.html; platform status code behavior requires deployment verification"
"/maintenance","Maintenance","System page","None","None","None","None","P0","R0","Unapproved","Operations switch and schedule required","Static shell; Operations; local static build; 2026-07-25","Operations; Web","All visitors","Recovery","Hubungi Kami","System","noindex,follow","Self","excluded","WebPage","Operations","Operations review","maintenance","Built shell; activation and HTTP behavior depend on hosting"
"/robots.txt","Robots","Crawl endpoint","None","None","None","None","P0","R0","Unapproved","Technical SEO contract","Available; SEO; local static build; 2026-07-25","SEO; Web","Crawlers","Crawl control","None","None","n/a","Self","n/a","None","SEO","SEO review","crawl_asset","Built"
"/sitemap-index.xml","Sitemap index","Generated crawl endpoint","None","None","None","None","P0","R0","Unapproved","Astro sitemap integration","Available; SEO; local static build; 2026-07-25","SEO; Web","Crawlers","URL discovery","None","None","n/a","Self","n/a","None","SEO","SEO review","crawl_asset","Built; public origin must be confirmed"
"/site.webmanifest","Web manifest","Application metadata","None","None","None","None","P0","R0","Unapproved","Final brand icons","Available; Brand and Web; local static build; 2026-07-25","Web","Browsers","Application metadata","None","None","n/a","Self","n/a","None","Web","Brand review","crawl_asset","Built"

